0.000,0.590,0.000,0.100,0.001,0.308,626911814224375808
0.004,0.869,0.112,0.003,0.004,0.008,626911209808351233
0.039,0.029,0.079,0.673,0.006,0.175,626897567616487424
0.253,0.224,0.060,0.058,0.229,0.176,626897222442065920
0.135,0.006,0.461,0.127,0.194,0.077,626895573682139136
0.135,0.006,0.461,0.127,0.194,0.077,626888935038427136
0.003,0.009,0.774,0.198,0.009,0.006,626887879587962880
0.062,0.015,0.015,0.872,0.031,0.005,626878727323054080
0.004,0.869,0.112,0.003,0.004,0.008,626876718503096321
0.062,0.015,0.015,0.872,0.031,0.005,626875367094005760
0.000,0.590,0.000,0.100,0.001,0.308,626873986819969024
0.013,0.574,0.168,0.175,0.002,0.068,626873548838150145
0.013,0.574,0.168,0.175,0.002,0.068,626870153800753153
0.013,0.574,0.168,0.175,0.002,0.068,626869642573795328
0.000,0.590,0.000,0.100,0.001,0.308,626862351170580480
0.014,0.121,0.001,0.786,0.005,0.073,626853600178884608
0.014,0.290,0.026,0.028,0.284,0.357,626852380076707841
0.796,0.002,0.013,0.123,0.042,0.025,626849559675830276
0.105,0.035,0.038,0.102,0.028,0.692,626847884894408705
0.001,0.209,0.000,0.706,0.000,0.083,626847757702184960
0.001,0.209,0.000,0.706,0.000,0.083,626846901581783042
0.105,0.035,0.038,0.102,0.028,0.692,626841104831414272
0.014,0.121,0.001,0.786,0.005,0.073,626831938133839873
0.166,0.158,0.114,0.208,0.271,0.083,626827489348747264
0.796,0.002,0.013,0.123,0.042,0.025,626824766712868865
0.001,0.234,0.140,0.546,0.015,0.065,626822178743435265
0.001,0.174,0.000,0.421,0.394,0.010,626819732788891648
0.003,0.349,0.017,0.095,0.004,0.533,626815531937476609
0.001,0.174,0.000,0.421,0.394,0.010,626815178882043904
0.003,0.349,0.017,0.095,0.004,0.533,626812094608834560
0.001,0.174,0.000,0.421,0.394,0.010,626812007417839617
0.011,0.006,0.031,0.141,0.773,0.039,626811998500749312
0.076,0.095,0.017,0.503,0.096,0.212,626811286634926080
0.219,0.367,0.049,0.005,0.080,0.279,626810474382766080
0.219,0.367,0.049,0.005,0.080,0.279,626806309954953217
0.219,0.367,0.049,0.005,0.080,0.279,626806038164078592
0.003,0.019,0.025,0.365,0.586,0.002,626797298346016768
0.000,0.590,0.000,0.100,0.001,0.308,626795797926051840
0.076,0.095,0.017,0.503,0.096,0.212,626791785096978433
0.028,0.035,0.031,0.623,0.114,0.169,626788439732711424
0.001,0.020,0.312,0.000,0.379,0.288,626782636116045824
0.002,0.242,0.082,0.572,0.038,0.065,626779844303552512
0.002,0.242,0.082,0.572,0.038,0.065,626779709293113345
0.000,0.590,0.000,0.100,0.001,0.308,626779612069142528
